Location,Layer,Orig_TOP,Orig_BOT,Orig_IBOUND,DEM_TOP,DEM_BOT,Rule,Res_TOP,Res_BOT,Res_IBOUND
East,31,-70.0,-90.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-70.0,-90.0,1
East,32,-90.0,-110.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-90.0,-110.0,1
East,33,-110.0,-130.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-110.0,-130.0,1
East,34,-130.0,-150.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-130.0,-150.0,1
Nourishment,0,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),2.8359999656677246,0.7900000214576721,0
Nourishment,1,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,2,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,3,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,4,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,5,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,6,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,7,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,8,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,9,0.7900000214576721,0.7900000214576721,0,2.8359999656677246,2.8359999656677246,Inactive (originally),0.7900000214576721,0.7900000214576721,0
Nourishment,10,0.7900000214576721,0.4569999873638153,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),2.8359999656677246,0.4569999873638153,1
Nourishment,11,0.4569999873638153,-0.006000000052154064,1,2.8359999656677246,2.8359999656677246,"No change (TOP_new == TOP_old, upper active layer)",0.4569999873638153,-0.006000000052154064,1
